ID,Annee_naissance,Niveau_Education,Statut_Marital,Revenu,Nb_Enfants,Nb_Ado,Nbjour_Dernier_Achat,Montant_Vins,Montant_Fruits,Montant_Viandes,Montant_Poissons,Montant_Sucreries,Montant_Or,NbAchat_Remise,NbAchat_SiteWeb,NbAchat_Catalogue,NbAchat_Magasin,NbVisit_SiteWebCeMois,Campagne3,Campagne4,Campagne5,Campagne1,Campagne2,Reponse,Plaintes,Pays,Montant_Total,Date_Enrollement,Age,Groupe_Age,Revenu_Manquant,NbAchat_Total
837,1977,Graduate,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,False,False,False,False,False,False,False,Spain,174,2013-09-11,37,35-45,False,12
10521,1977,Graduate,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,False,False,False,False,False,True,False,Spain,174,2013-09-11,37,35-45,False,12
10175,1958,PhD,Divorced,32173.0,0,1,0,18,0,2,0,0,2,1,1,0,3,4,False,False,False,False,False,False,False,Spain,22,2013-08-01,56,45-60,False,5
1473,1960,2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,False,False,False,False,False,False,False,Canada,72,2013-07-23,54,45-60,False,7
2795,1958,Master,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,False,False,False,False,False,False,False,Canada,13,2013-07-01,56,45-60,False,4
2285,1954,Master,Married,36634.0,0,1,0,213,9,76,4,3,30,3,5,2,5,7,False,False,False,False,False,False,False,Saudi Arabia,335,2013-05-28,60,45-60,False,15
115,1966,Master,Single,43456.0,0,1,0,275,11,68,25,7,7,3,5,1,8,5,False,False,False,False,False,False,False,India,393,2013-03-26,48,45-60,False,17
10470,1979,Master,Married,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,False,False,False,False,False,False,False,Germany,92,2013-03-15,35,25-35,False,8
4065,1976,PhD,Married,49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,7,False,False,False,False,False,False,False,Spain,404,2013-02-12,38,35-45,False,16
10968,1969,Graduate,Single,57731.0,0,1,0,266,21,300,65,8,44,4,8,8,6,6,False,False,False,False,False,False,False,India,704,2012-11-23,45,35-45,False,26
5985,1965,Master,Single,33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,False,False,False,False,False,False,False,Spain,122,2012-10-13,49,45-60,False,10
5430,1956,Graduate,Married,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,False,False,False,False,False,False,False,Spain,684,2012-09-14,58,45-60,False,31
8432,1956,Graduate,Married,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,False,False,False,False,False,False,False,Spain,684,2012-09-14,58,45-60,False,31
453,1956,PhD,Widow,35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,False,False,False,False,False,False,False,Spain,45,2014-06-29,58,45-60,False,7
9687,1975,Graduate,Single,73170.0,0,0,1,184,174,256,50,30,32,1,5,4,6,2,False,False,False,False,False,False,False,Canada,726,2014-05-31,39,35-45,False,16
8890,1971,PhD,Divorced,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,False,False,False,False,False,False,False,Spain,272,2014-05-30,43,35-45,False,14
9264,1986,Graduate,Married,79529.0,0,0,1,423,42,706,73,197,197,1,4,8,9,2,False,False,False,False,False,False,False,Canada,1638,2014-04-27,28,25-35,False,22
5824,1972,PhD,Married,34578.0,2,1,1,7,0,1,0,0,0,1,1,0,2,6,False,False,False,False,False,False,False,Australia,8,2014-04-11,42,35-45,False,4
5794,1974,PhD,Married,46374.0,0,1,1,408,0,21,0,0,17,3,7,1,7,8,False,True,False,True,False,True,False,India,446,2014-03-17,40,35-45,False,18
3068,1990,Graduate,Married,18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,False,False,False,False,False,False,False,Spain,43,2013-10-29,24,18-25,False,6
7962,1987,PhD,Single,95169.0,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,False,False,True,True,False,True,False,Spain,1901,2013-10-09,27,25-35,False,12
2681,1984,2n Cycle,Married,65370.0,0,0,1,71,22,112,138,89,29,1,2,3,13,1,False,False,False,False,False,False,False,Spain,461,2013-08-01,30,25-35,False,19
10141,1960,Master,Divorced,39228.0,0,0,1,7,1,6,0,3,3,1,0,0,3,4,False,False,False,False,False,False,False,Saudi Arabia,20,2013-05-10,54,45-60,False,4
3725,1961,PhD,Single,84865.0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,False,True,True,True,True,True,False,Spain,1688,2013-05-09,53,45-60,False,16
3767,1968,Graduate,Married,61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,False,False,False,False,False,False,False,Spain,1008,2013-04-25,46,45-60,False,24
5585,1972,Graduate,Single,21359.0,1,0,1,12,2,17,6,1,10,2,2,0,3,8,False,False,False,False,False,True,False,Canada,48,2013-04-20,42,35-45,False,7
7030,1955,PhD,Married,66465.0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,False,False,False,True,False,False,False,Spain,1485,2013-03-30,59,45-60,False,35
1524,1983,2n Cycle,Single,81698.0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,False,False,False,True,False,True,False,Spain,1104,2013-03-01,31,25-35,False,16
3657,1986,Graduate,Single,39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,False,False,False,False,False,False,False,Spain,165,2013-02-14,28,25-35,False,11
5740,1970,2n Cycle,Divorced,25959.0,1,1,1,4,2,12,7,5,26,2,1,2,2,6,False,False,False,False,False,True,False,Spain,56,2013-02-14,44,35-45,False,7
9595,1961,Graduate,Married,64260.0,0,0,1,539,169,816,20,0,30,1,4,5,4,3,False,False,False,False,False,True,False,Spain,1574,2013-01-11,53,45-60,False,14
3158,1973,Graduate,Married,32300.0,1,0,1,13,3,6,6,5,6,1,1,0,3,8,False,False,False,False,False,False,False,Spain,39,2013-01-03,41,35-45,False,5
5114,1965,Master,Married,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,False,False,False,False,False,False,False,Australia,965,2012-12-19,49,45-60,False,16
340,1970,Graduate,Divorced,72967.0,0,1,1,158,35,179,0,0,125,2,7,2,8,5,True,False,False,False,False,True,False,Germany,497,2012-12-15,44,35-45,False,19
8805,1960,Graduate,Single,48904.0,0,1,1,283,10,38,0,13,27,4,7,2,4,8,False,False,False,False,False,False,False,USA,371,2012-12-02,54,45-60,False,17
1241,1984,2n Cycle,Married,14796.0,1,0,1,13,3,8,7,4,16,2,1,0,3,9,False,False,False,False,False,True,False,Germany,51,2012-09-17,30,25-35,False,6
1402,1954,Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,False,False,False,False,False,False,False,Germany,1253,2012-09-11,60,45-60,False,21
7264,1978,2n Cycle,Single,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,False,False,False,False,False,False,False,Saudi Arabia,17,2014-05-12,36,35-45,False,4
1619,1956,Graduate,Married,90369.0,0,0,2,292,51,981,224,23,17,1,4,6,6,1,False,False,False,False,False,True,False,Spain,1588,2014-04-28,58,45-60,False,17
6398,1974,Basic,Married,18393.0,1,0,2,7,10,13,16,0,4,2,3,0,3,8,False,False,False,False,False,False,False,Spain,50,2014-03-29,40,35-45,False,8
1857,1952,Graduate,Single,47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,False,False,False,False,False,True,False,Spain,83,2014-03-06,62,60+,False,7
4877,1973,Master,Married,38576.0,0,1,2,34,0,7,0,0,0,1,1,0,3,7,False,False,False,False,False,False,False,India,41,2014-03-04,41,35-45,False,5
3066,1975,PhD,Married,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,False,False,False,False,False,False,False,Saudi Arabia,231,2014-02-04,39,35-45,False,12
10286,1962,Graduate,Married,83715.0,0,0,2,318,8,407,150,35,8,1,2,8,13,0,False,False,False,False,False,False,False,Saudi Arabia,926,2014-02-03,52,45-60,False,24
1992,1964,Graduate,Married,60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,False,False,False,True,False,True,False,Spain,893,2014-01-01,50,45-60,False,16
4246,1982,Master,Single,6560.0,0,0,2,67,11,26,4,3,262,0,1,0,1,17,False,False,False,False,False,False,False,Spain,373,2013-12-12,32,25-35,False,2
10623,1961,Master,Married,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,False,False,False,False,False,False,False,Spain,32,2013-11-15,53,45-60,False,5
4867,1968,PhD,Single,38236.0,1,1,2,58,0,18,2,0,10,4,3,0,4,7,False,False,False,False,False,False,False,Spain,88,2013-09-20,46,45-60,False,11
3112,1977,Master,Married,22701.0,1,0,2,2,4,9,0,4,5,1,1,0,3,5,False,False,False,False,False,False,False,Spain,24,2013-09-05,37,35-45,False,5
4865,1974,Master,Divorced,53367.0,1,1,2,229,7,140,10,3,11,7,5,1,8,7,False,False,False,False,False,True,False,Australia,400,2013-08-31,40,35-45,False,21
6287,1986,Graduate,Married,34728.0,1,0,2,14,0,16,0,0,6,1,1,1,2,6,False,False,False,False,False,True,False,Spain,36,2013-07-30,28,25-35,False,5
4405,1956,Master,Married,63915.0,0,2,2,622,7,115,30,0,15,2,6,3,12,5,False,False,False,False,False,False,False,Australia,789,2013-07-30,58,45-60,False,23
5332,1960,2n Cycle,Married,82504.0,0,0,2,362,50,431,134,35,54,1,3,6,7,1,False,False,False,False,False,False,False,India,1066,2013-07-27,54,45-60,False,17
1519,1972,PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,False,False,False,False,False,True,False,Spain,73,2013-06-22,42,35-45,False,9
9080,1972,PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,False,False,False,False,False,False,False,Spain,73,2013-06-22,42,35-45,False,9
1772,1975,PhD,Married,79174.0,0,0,2,1074,37,518,193,92,129,1,5,6,7,2,False,False,True,True,False,True,False,Canada,2043,2013-01-11,39,35-45,False,19
5341,1962,2n Cycle,Divorced,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,False,False,True,False,False,False,False,Saudi Arabia,1588,2013-01-05,52,45-60,False,14
5510,1977,Master,Married,43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,5,False,False,False,False,False,False,False,Spain,441,2012-11-21,37,35-45,False,16
3887,1970,Graduate,Single,27242.0,1,0,2,3,17,26,20,1,39,2,2,0,3,9,False,False,False,False,False,True,False,India,106,2012-11-11,44,35-45,False,7
7022,1971,Graduate,Married,76445.0,1,0,2,739,107,309,140,80,35,1,2,5,13,6,False,False,False,False,False,False,False,Saudi Arabia,1410,2012-09-28,43,35-45,False,21
9999,1965,Graduate,Married,75276.0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,False,False,False,False,False,False,False,Spain,1040,2012-09-27,49,45-60,False,23
10352,1963,Graduate,Widow,34213.0,1,1,2,50,4,28,6,3,26,3,3,1,2,9,False,False,False,False,False,True,False,Saudi Arabia,117,2012-09-07,51,45-60,False,9
7919,1976,PhD,Married,72335.0,0,0,2,1285,105,653,28,21,0,1,10,4,8,8,False,False,False,False,False,True,False,Spain,2092,2012-08-13,38,35-45,False,23
4114,1964,Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,False,False,False,False,False,False,False,Australia,1693,2012-08-11,50,45-60,False,29
7990,1947,Graduate,Married,27469.0,0,0,2,9,1,2,3,2,0,1,0,0,3,6,False,False,False,False,False,False,False,Canada,17,2012-08-02,67,60+,False,4
9888,1969,Graduate,Married,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,False,False,False,False,False,False,False,Spain,1091,2014-06-25,45,35-45,False,16
4399,1969,Graduate,Married,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,False,False,False,False,False,False,False,Canada,1091,2014-06-25,45,35-45,False,16
4452,1957,Graduate,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,False,True,False,True,False,True,False,Germany,372,2014-05-28,57,45-60,False,17
4785,1970,PhD,Married,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,False,False,False,False,False,False,False,Saudi Arabia,714,2014-04-14,44,35-45,False,22
8461,1962,Graduate,Divorced,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,False,False,False,False,False,False,False,Spain,16,2014-03-10,52,45-60,False,4
3878,1980,2n Cycle,Single,31859.0,1,0,3,3,4,7,15,8,11,1,1,0,3,7,False,False,False,False,False,False,False,Spain,48,2014-02-27,34,25-35,False,5
9612,1987,2n Cycle,Single,23830.0,0,0,3,1,8,6,4,8,16,1,1,0,3,7,False,False,False,False,False,False,False,Spain,43,2014-02-07,27,25-35,False,5
4098,1973,Graduate,Married,24639.0,1,1,3,20,3,16,0,4,1,3,2,0,4,6,False,False,False,False,False,False,False,Australia,44,2014-01-28,41,35-45,False,9
158,1945,PhD,Married,71604.0,0,0,3,345,53,528,98,75,97,1,8,3,5,4,True,False,False,False,False,True,False,Spain,1196,2013-11-17,69,60+,False,17
3896,1984,Graduate,Married,27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,False,False,False,False,False,False,False,Spain,37,2013-11-07,30,25-35,False,5
9970,1977,Graduate,Married,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,False,False,False,False,False,False,False,Canada,162,2013-10-17,37,35-45,False,9
4002,1960,PhD,Married,77037.0,0,1,3,463,96,333,168,53,10,1,7,7,12,3,False,False,False,False,False,False,False,Spain,1123,2013-10-13,54,45-60,False,27
10914,1970,Graduate,Single,24163.0,1,1,3,4,1,7,2,1,2,2,1,0,3,4,False,False,False,False,False,False,False,Spain,17,2013-10-12,44,35-45,False,6
7279,1969,PhD,Married,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,False,False,False,False,False,False,False,USA,1044,2013-09-30,45,35-45,False,15
10582,1979,Graduate,Married,72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,False,False,False,False,False,False,False,Germany,758,2013-07-03,35,25-35,False,21
4470,1962,Master,Married,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,False,False,False,False,False,False,False,Spain,140,2013-06-10,52,45-60,False,8
6183,1962,Master,Married,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,False,False,False,False,False,False,False,Germany,140,2013-06-10,52,45-60,False,8
6379,1949,Master,Widow,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,False,False,False,False,False,True,False,USA,121,2013-05-29,65,60+,False,9
8601,1980,Graduate,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,False,False,False,False,False,False,False,Australia,1395,2013-04-29,34,25-35,False,21
4827,1956,PhD,Single,54998.0,0,1,3,154,22,202,39,30,8,5,4,2,9,4,False,False,False,False,False,True,False,Spain,455,2013-03-10,58,45-60,False,20
6715,1948,PhD,Single,60200.0,0,1,3,502,19,132,0,6,26,6,6,2,11,6,False,False,False,False,False,False,False,Spain,685,2013-01-02,66,60+,False,25
10676,1982,Graduate,Married,63211.0,0,0,3,145,193,459,205,26,145,2,3,8,7,2,False,False,False,False,False,True,False,Spain,1173,2012-11-02,32,25-35,False,20
1041,1973,PhD,Single,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,False,False,False,False,False,True,False,Saudi Arabia,424,2012-10-18,41,35-45,False,19
4491,1949,Master,Married,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,False,True,False,False,False,False,False,Spain,1178,2012-10-01,65,60+,False,28
873,1949,Master,Married,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,False,True,False,False,False,True,False,Spain,1178,2012-10-01,65,60+,False,28
1631,1965,PhD,Married,65220.0,0,0,3,890,63,292,0,25,12,4,8,4,7,6,False,False,False,False,False,True,False,Germany,1282,2012-09-03,49,45-60,False,23
8278,1990,PhD,Married,74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,False,False,False,False,False,False,False,Spain,1711,2012-08-26,24,18-25,False,16
6815,1980,2n Cycle,Married,96547.0,0,0,4,448,21,125,52,101,62,0,7,6,8,2,True,False,True,True,False,True,False,Spain,809,2014-05-23,34,25-35,False,21
254,1955,Graduate,Married,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,False,True,False,False,False,False,False,Spain,473,2014-05-17,59,45-60,False,18
1349,1970,Graduate,Married,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,False,False,False,False,False,False,False,India,148,2014-04-21,44,35-45,False,8
2534,1953,Graduate,Married,37716.0,0,1,4,97,1,41,6,2,41,2,4,1,3,7,False,False,False,False,False,False,False,Australia,188,2014-04-21,61,60+,False,10
2130,1982,Graduate,Married,45203.0,2,0,4,35,3,67,10,8,24,1,3,1,3,6,False,False,False,False,False,True,False,Saudi Arabia,147,2014-03-23,32,25-35,False,8
2296,1975,Master,Married,37368.0,1,0,4,3,2,11,2,2,10,1,1,0,2,6,True,False,False,False,False,False,False,Spain,30,2013-12-16,39,35-45,False,4
3799,1955,Graduate,Married,67225.0,0,1,4,315,35,322,46,7,143,3,7,2,11,5,False,False,False,False,False,False,False,USA,868,2013-11-26,59,45-60,False,23
11084,1976,Master,Married,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,False,False,False,False,False,True,False,Canada,1053,2013-11-14,38,35-45,False,17
5172,1976,Master,Married,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,False,False,False,False,False,False,False,Spain,1053,2013-11-14,38,35-45,False,17
9504,1949,Master,Married,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,False,False,False,False,False,True,False,Spain,1008,2013-11-06,65,60+,False,25
850,1968,Graduate,Single,70566.0,0,1,4,381,28,215,84,28,21,2,6,5,9,3,False,False,False,False,False,False,False,Spain,757,2013-10-06,46,45-60,False,22
4477,1958,Graduate,Married,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,False,False,False,False,False,False,False,Germany,653,2013-09-27,56,45-60,False,18
1945,1962,Graduate,Married,71434.0,0,1,4,711,36,217,172,96,168,3,7,4,7,4,False,True,False,True,False,False,False,Spain,1400,2013-09-18,52,45-60,False,21
7685,1978,Graduate,Married,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,False,False,False,False,False,False,False,Spain,78,2013-09-09,36,35-45,False,7
6310,1978,Graduate,Married,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,False,False,False,False,False,False,False,Canada,78,2013-09-09,36,35-45,False,7
10832,1958,Graduate,Married,46610.0,0,0,4,288,10,30,4,10,125,1,6,1,6,6,False,False,False,False,False,False,False,Spain,467,2013-07-18,56,45-60,False,14
3025,1958,Graduate,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,False,False,False,False,False,False,False,Canada,306,2013-07-08,56,45-60,False,15
2404,1976,Graduate,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,False,False,False,False,False,False,False,USA,257,2013-05-27,38,35-45,False,14
8581,1971,Master,Married,49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,False,False,False,False,False,False,False,Spain,751,2013-03-05,43,35-45,False,29
8755,1946,Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,False,False,False,False,False,False,False,Australia,1196,2013-02-20,68,60+,False,18
10177,1954,Graduate,Divorced,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,False,False,False,False,False,False,False,Spain,1338,2013-02-14,60,45-60,False,20
2429,1954,Graduate,Divorced,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,False,False,False,False,False,False,False,Canada,1338,2013-02-14,60,45-60,False,20
8920,1967,Master,Single,59235.0,1,0,4,448,40,469,80,0,91,3,11,2,12,7,False,False,False,False,False,False,False,India,1128,2013-01-12,47,45-60,False,28
8430,1957,Graduate,Married,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,False,False,False,False,False,False,False,Australia,22,2012-12-24,57,45-60,False,4
8619,1957,Graduate,Married,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,False,False,False,False,False,False,False,Spain,22,2012-12-24,57,45-60,False,4
8996,1957,PhD,Married,35908.5,2,1,4,230,42,192,49,37,53,12,7,2,8,9,False,False,False,False,False,False,False,Germany,603,2012-11-19,57,45-60,True,29
7233,1972,Graduate,Married,69209.0,0,0,4,496,32,849,229,48,128,2,5,3,6,4,False,False,False,True,False,False,False,Canada,1782,2012-09-17,42,35-45,False,16
6678,1989,Graduate,Married,31928.0,1,0,5,33,4,24,4,2,5,2,3,0,4,7,False,False,False,False,False,False,False,India,72,2014-03-28,25,18-25,False,9
830,1987,PhD,Single,74004.0,0,0,5,784,48,560,42,176,48,1,4,6,4,3,False,False,True,True,False,True,False,India,1658,2014-02-24,27,25-35,False,15
6365,1987,2n Cycle,Married,30390.0,0,0,5,10,12,12,25,1,20,1,2,0,3,6,False,False,False,False,False,False,False,India,80,2013-09-02,27,25-35,False,6
6770,1985,Graduate,Married,21355.0,1,0,5,5,13,14,0,5,31,2,2,1,2,6,True,False,False,False,False,True,False,USA,68,2013-08-20,29,25-35,False,7
2261,1969,Graduate,Married,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,False,False,False,False,False,False,False,Germany,16,2013-06-23,45,35-45,False,4
1031,1989,2n Cycle,Married,85710.0,0,0,5,600,20,350,29,30,33,1,6,9,10,2,False,False,True,False,False,False,False,India,1062,2013-05-05,25,18-25,False,26
10089,1974,Graduate,Divorced,102692.0,0,0,5,168,148,444,32,172,148,1,6,9,13,2,False,True,True,True,True,True,False,Saudi Arabia,1112,2013-04-05,40,35-45,False,29
9256,1971,Graduate,Single,58350.0,0,1,5,493,26,206,116,80,80,4,8,3,12,6,False,False,False,False,False,False,False,Spain,1001,2013-01-04,43,35-45,False,27
10641,1978,Graduate,Single,7500.0,1,1,5,6,5,4,13,4,25,4,2,1,3,6,False,False,False,False,False,False,False,Spain,57,2012-12-27,36,35-45,False,10
624,1984,Master,Single,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,True,False,False,False,False,True,False,Saudi Arabia,35,2012-11-10,30,25-35,False,4
4211,1986,Basic,Married,20425.0,1,0,5,4,12,5,3,16,17,2,2,0,3,7,False,False,False,False,False,False,False,Canada,57,2012-10-29,28,25-35,False,7
1407,1986,Basic,Married,20425.0,1,0,5,4,12,5,3,16,17,2,2,0,3,7,False,False,False,False,False,False,False,Germany,57,2012-10-29,28,25-35,False,7
10356,1957,PhD,Divorced,41437.0,1,1,5,29,0,2,0,0,1,1,1,0,3,7,False,False,False,False,False,False,False,Spain,32,2012-09-22,57,45-60,False,5
9323,1949,Master,Married,49912.0,0,1,5,520,8,223,32,49,42,4,10,5,7,8,True,False,False,False,False,True,False,Mexico,874,2012-09-07,65,60+,False,26
1146,1949,Master,Married,49912.0,0,1,5,520,8,223,32,49,42,4,10,5,7,8,True,False,False,False,False,True,False,Australia,874,2012-09-07,65,60+,False,26
6343,1959,Graduate,Married,79823.0,0,1,6,835,73,380,114,73,43,1,6,9,7,2,False,True,False,False,False,False,False,Australia,1518,2014-03-31,55,45-60,False,23
8545,1954,Graduate,Divorced,85683.0,0,0,6,1296,17,311,45,69,51,1,2,4,10,1,False,True,True,True,True,True,False,Spain,1789,2014-03-21,60,45-60,False,17
8275,1965,PhD,Divorced,47025.0,1,1,6,16,0,3,0,0,1,1,1,0,2,7,False,False,False,False,False,False,False,Spain,20,2014-02-09,49,45-60,False,4
10673,1976,PhD,Married,68397.0,0,1,6,760,80,466,17,13,80,1,6,9,5,3,False,False,False,False,False,False,False,Saudi Arabia,1416,2013-11-17,38,35-45,False,21
8799,1984,PhD,Married,38175.0,1,0,6,70,6,69,2,3,3,3,3,1,4,7,False,False,False,False,False,False,False,Spain,153,2013-09-23,30,25-35,False,11
67,1972,Master,Single,46423.0,1,1,6,68,0,16,0,0,8,3,2,0,4,7,False,False,False,False,False,False,False,Spain,92,2013-09-18,42,35-45,False,9
9923,1972,Master,Single,46423.0,1,1,6,68,0,16,0,0,8,3,2,0,4,7,False,False,False,False,False,False,False,Spain,92,2013-09-18,42,35-45,False,9
2814,1976,Master,Married,30560.0,1,0,6,9,1,5,4,5,7,1,1,0,3,7,False,False,False,False,False,False,False,Saudi Arabia,31,2013-06-27,38,35-45,False,5
2711,1976,Master,Married,30560.0,1,0,6,9,1,5,4,5,7,1,1,0,3,7,False,False,False,False,False,False,False,Canada,31,2013-06-27,38,35-45,False,5
4320,1979,Graduate,Single,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,False,False,False,False,False,False,False,Spain,943,2013-03-28,35,25-35,False,23
