ID,Annee_naissance,Niveau_Education,Statut_Marital,Revenu,Nb_Enfants,Nb_Ado,Nbjour_Dernier_Achat,Montant_Vins,Montant_Fruits,Montant_Viandes,Montant_Poissons,Montant_Sucreries,Montant_Or,NbAchat_Remise,NbAchat_SiteWeb,NbAchat_Catalogue,NbAchat_Magasin,NbVisit_SiteWebCeMois,Campagne3,Campagne4,Campagne5,Campagne1,Campagne2,DerniereCampagne,Plaintes,Pays,Montant_Total,NbAchat_Total,Date_Enrollement,Age,Groupe_Age,Total_Enfants,Groupe_TotalEnfants,Manquants,Revenu_capped,Age_capped
453,1956,PhD,Widow,35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,False,False,False,False,False,False,False,Spain,45,7,2014-06-29,58,45-60,2,1,False,35340.0,58
9687,1975,Graduate,Single,73170.0,0,0,1,184,174,256,50,30,32,1,5,4,6,2,False,False,False,False,False,False,False,Canada,726,16,2014-05-31,39,35-45,0,0,False,73170.0,39
8890,1971,PhD,Divorced,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,False,False,False,False,False,False,False,Spain,272,14,2014-05-30,43,35-45,2,1,False,65808.0,43
9264,1986,Graduate,Married,79529.0,0,0,1,423,42,706,73,197,197,1,4,8,9,2,False,False,False,False,False,False,False,Canada,1638,22,2014-04-27,28,25-35,0,0,False,79529.0,28
5824,1972,PhD,Married,34578.0,2,1,1,7,0,1,0,0,0,1,1,0,2,6,False,False,False,False,False,False,False,Australia,8,4,2014-04-11,42,35-45,3,2-3,False,34578.0,42
5794,1974,PhD,Married,46374.0,0,1,1,408,0,21,0,0,17,3,7,1,7,8,False,True,False,True,False,True,False,India,446,18,2014-03-17,40,35-45,1,0,False,46374.0,40
3068,1990,Graduate,Married,18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,False,False,False,False,False,False,False,Spain,43,6,2013-10-29,24,18-25,0,0,False,18351.0,24
7962,1987,PhD,Single,95169.0,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,False,False,True,True,False,True,False,Spain,1901,12,2013-10-09,27,25-35,0,0,False,94199.86000000003,27
2681,1984,2n Cycle,Married,65370.0,0,0,1,71,22,112,138,89,29,1,2,3,13,1,False,False,False,False,False,False,False,Spain,461,19,2013-08-01,30,25-35,0,0,False,65370.0,30
10141,1960,Master,Divorced,39228.0,0,0,1,7,1,6,0,3,3,1,0,0,3,4,False,False,False,False,False,False,False,Saudi Arabia,20,4,2013-05-10,54,45-60,0,0,False,39228.0,54
3725,1961,PhD,Single,84865.0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,False,True,True,True,True,True,False,Spain,1688,16,2013-05-09,53,45-60,0,0,False,84865.0,53
3767,1968,Graduate,Married,61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,False,False,False,False,False,False,False,Spain,1008,24,2013-04-25,46,45-60,1,0,False,61314.0,46
5585,1972,Graduate,Single,21359.0,1,0,1,12,2,17,6,1,10,2,2,0,3,8,False,False,False,False,False,True,False,Canada,48,7,2013-04-20,42,35-45,1,0,False,21359.0,42
7030,1955,PhD,Married,66465.0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,False,False,False,True,False,False,False,Spain,1485,35,2013-03-30,59,45-60,1,0,False,66465.0,59
1524,1983,2n Cycle,Single,81698.0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,False,False,False,True,False,True,False,Spain,1104,16,2013-03-01,31,25-35,0,0,False,81698.0,31
3657,1986,Graduate,Single,39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,False,False,False,False,False,False,False,Spain,165,11,2013-02-14,28,25-35,1,0,False,39146.0,28
5740,1970,2n Cycle,Divorced,25959.0,1,1,1,4,2,12,7,5,26,2,1,2,2,6,False,False,False,False,False,True,False,Spain,56,7,2013-02-14,44,35-45,2,1,False,25959.0,44
9595,1961,Graduate,Married,64260.0,0,0,1,539,169,816,20,0,30,1,4,5,4,3,False,False,False,False,False,True,False,Spain,1574,14,2013-01-11,53,45-60,0,0,False,64260.0,53
3158,1973,Graduate,Married,32300.0,1,0,1,13,3,6,6,5,6,1,1,0,3,8,False,False,False,False,False,False,False,Spain,39,5,2013-01-03,41,35-45,1,0,False,32300.0,41
5114,1965,Master,Married,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,False,False,False,False,False,False,False,Australia,965,16,2012-12-19,49,45-60,1,0,False,74806.0,49
340,1970,Graduate,Divorced,72967.0,0,1,1,158,35,179,0,0,125,2,7,2,8,5,True,False,False,False,False,True,False,Germany,497,19,2012-12-15,44,35-45,1,0,False,72967.0,44
8805,1960,Graduate,Single,48904.0,0,1,1,283,10,38,0,13,27,4,7,2,4,8,False,False,False,False,False,False,False,USA,371,17,2012-12-02,54,45-60,1,0,False,48904.0,54
1241,1984,2n Cycle,Married,14796.0,1,0,1,13,3,8,7,4,16,2,1,0,3,9,False,False,False,False,False,True,False,Germany,51,6,2012-09-17,30,25-35,1,0,False,14796.0,30
1402,1954,Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,False,False,False,False,False,False,False,Germany,1253,21,2012-09-11,60,45-60,0,0,False,66991.0,60
7264,1978,2n Cycle,Single,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,False,False,False,False,False,False,False,Saudi Arabia,17,4,2014-05-12,36,35-45,3,2-3,False,52195.0,36
1619,1956,Graduate,Married,90369.0,0,0,2,292,51,981,224,23,17,1,4,6,6,1,False,False,False,False,False,True,False,Spain,1588,17,2014-04-28,58,45-60,0,0,False,90369.0,58
6398,1974,Basic,Married,18393.0,1,0,2,7,10,13,16,0,4,2,3,0,3,8,False,False,False,False,False,False,False,Spain,50,8,2014-03-29,40,35-45,1,0,False,18393.0,40
1857,1952,Graduate,Single,47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,False,False,False,False,False,True,False,Spain,83,7,2014-03-06,62,60+,2,1,False,47139.0,62
4877,1973,Master,Married,38576.0,0,1,2,34,0,7,0,0,0,1,1,0,3,7,False,False,False,False,False,False,False,India,41,5,2014-03-04,41,35-45,1,0,False,38576.0,41
3066,1975,PhD,Married,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,False,False,False,False,False,False,False,Saudi Arabia,231,12,2014-02-04,39,35-45,1,0,False,61905.0,39
10286,1962,Graduate,Married,83715.0,0,0,2,318,8,407,150,35,8,1,2,8,13,0,False,False,False,False,False,False,False,Saudi Arabia,926,24,2014-02-03,52,45-60,0,0,False,83715.0,52
1992,1964,Graduate,Married,60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,False,False,False,True,False,True,False,Spain,893,16,2014-01-01,50,45-60,1,0,False,60597.0,50
4246,1982,Master,Single,6560.0,0,0,2,67,11,26,4,3,262,0,1,0,1,17,False,False,False,False,False,False,False,Spain,373,2,2013-12-12,32,25-35,0,0,False,8857.2,32
10623,1961,Master,Married,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,False,False,False,False,False,False,False,Spain,32,5,2013-11-15,53,45-60,1,0,False,48330.0,53
4867,1968,PhD,Single,38236.0,1,1,2,58,0,18,2,0,10,4,3,0,4,7,False,False,False,False,False,False,False,Spain,88,11,2013-09-20,46,45-60,2,1,False,38236.0,46
3112,1977,Master,Married,22701.0,1,0,2,2,4,9,0,4,5,1,1,0,3,5,False,False,False,False,False,False,False,Spain,24,5,2013-09-05,37,35-45,1,0,False,22701.0,37
4865,1974,Master,Divorced,53367.0,1,1,2,229,7,140,10,3,11,7,5,1,8,7,False,False,False,False,False,True,False,Australia,400,21,2013-08-31,40,35-45,2,1,False,53367.0,40
6287,1986,Graduate,Married,34728.0,1,0,2,14,0,16,0,0,6,1,1,1,2,6,False,False,False,False,False,True,False,Spain,36,5,2013-07-30,28,25-35,1,0,False,34728.0,28
4405,1956,Master,Married,63915.0,0,2,2,622,7,115,30,0,15,2,6,3,12,5,False,False,False,False,False,False,False,Australia,789,23,2013-07-30,58,45-60,2,1,False,63915.0,58
5332,1960,2n Cycle,Married,82504.0,0,0,2,362,50,431,134,35,54,1,3,6,7,1,False,False,False,False,False,False,False,India,1066,17,2013-07-27,54,45-60,0,0,False,82504.0,54
1519,1972,PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,False,False,False,False,False,True,False,Spain,73,9,2013-06-22,42,35-45,2,1,False,38578.0,42
9080,1972,PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,False,False,False,False,False,False,False,Spain,73,9,2013-06-22,42,35-45,2,1,False,38578.0,42
1772,1975,PhD,Married,79174.0,0,0,2,1074,37,518,193,92,129,1,5,6,7,2,False,False,True,True,False,True,False,Canada,2043,19,2013-01-11,39,35-45,0,0,False,79174.0,39
5341,1962,2n Cycle,Divorced,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,False,False,True,False,False,False,False,Saudi Arabia,1588,14,2013-01-05,52,45-60,1,0,False,81975.0,52
5510,1977,Master,Married,43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,5,False,False,False,False,False,False,False,Spain,441,16,2012-11-21,37,35-45,1,0,False,43263.0,37
3887,1970,Graduate,Single,27242.0,1,0,2,3,17,26,20,1,39,2,2,0,3,9,False,False,False,False,False,True,False,India,106,7,2012-11-11,44,35-45,1,0,False,27242.0,44
7022,1971,Graduate,Married,76445.0,1,0,2,739,107,309,140,80,35,1,2,5,13,6,False,False,False,False,False,False,False,Saudi Arabia,1410,21,2012-09-28,43,35-45,1,0,False,76445.0,43
9999,1965,Graduate,Married,75276.0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,False,False,False,False,False,False,False,Spain,1040,23,2012-09-27,49,45-60,0,0,False,75276.0,49
10352,1963,Graduate,Widow,34213.0,1,1,2,50,4,28,6,3,26,3,3,1,2,9,False,False,False,False,False,True,False,Saudi Arabia,117,9,2012-09-07,51,45-60,2,1,False,34213.0,51
7919,1976,PhD,Married,72335.0,0,0,2,1285,105,653,28,21,0,1,10,4,8,8,False,False,False,False,False,True,False,Spain,2092,23,2012-08-13,38,35-45,0,0,False,72335.0,38
4114,1964,Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,False,False,False,False,False,False,False,Australia,1693,29,2012-08-11,50,45-60,0,0,False,79143.0,50
7990,1947,Graduate,Married,27469.0,0,0,2,9,1,2,3,2,0,1,0,0,3,6,False,False,False,False,False,False,False,Canada,17,4,2012-08-02,67,60+,0,0,False,27469.0,67
9888,1969,Graduate,Married,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,False,False,False,False,False,False,False,Spain,1091,16,2014-06-25,45,35-45,0,0,False,68695.0,45
4399,1969,Graduate,Married,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,False,False,False,False,False,False,False,Canada,1091,16,2014-06-25,45,35-45,0,0,False,68695.0,45
4452,1957,Graduate,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,False,True,False,True,False,True,False,Germany,372,17,2014-05-28,57,45-60,1,0,False,50388.0,57
4785,1970,PhD,Married,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,False,False,False,False,False,False,False,Saudi Arabia,714,22,2014-04-14,44,35-45,2,1,False,77622.0,44
8461,1962,Graduate,Divorced,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,False,False,False,False,False,False,False,Spain,16,4,2014-03-10,52,45-60,3,2-3,False,46102.0,52
3878,1980,2n Cycle,Single,31859.0,1,0,3,3,4,7,15,8,11,1,1,0,3,7,False,False,False,False,False,False,False,Spain,48,5,2014-02-27,34,25-35,1,0,False,31859.0,34
9612,1987,2n Cycle,Single,23830.0,0,0,3,1,8,6,4,8,16,1,1,0,3,7,False,False,False,False,False,False,False,Spain,43,5,2014-02-07,27,25-35,0,0,False,23830.0,27
4098,1973,Graduate,Married,24639.0,1,1,3,20,3,16,0,4,1,3,2,0,4,6,False,False,False,False,False,False,False,Australia,44,9,2014-01-28,41,35-45,2,1,False,24639.0,41
158,1945,PhD,Married,71604.0,0,0,3,345,53,528,98,75,97,1,8,3,5,4,True,False,False,False,False,True,False,Spain,1196,17,2013-11-17,69,60+,0,0,False,71604.0,69
3896,1984,Graduate,Married,27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,False,False,False,False,False,False,False,Spain,37,5,2013-11-07,30,25-35,1,0,False,27255.0,30
9970,1977,Graduate,Married,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,False,False,False,False,False,False,False,Canada,162,9,2013-10-17,37,35-45,1,0,False,55375.0,37
4002,1960,PhD,Married,77037.0,0,1,3,463,96,333,168,53,10,1,7,7,12,3,False,False,False,False,False,False,False,Spain,1123,27,2013-10-13,54,45-60,1,0,False,77037.0,54
10914,1970,Graduate,Single,24163.0,1,1,3,4,1,7,2,1,2,2,1,0,3,4,False,False,False,False,False,False,False,Spain,17,6,2013-10-12,44,35-45,2,1,False,24163.0,44
7279,1969,PhD,Married,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,False,False,False,False,False,False,False,USA,1044,15,2013-09-30,45,35-45,0,0,False,69476.0,45
10582,1979,Graduate,Married,72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,False,False,False,False,False,False,False,Germany,758,21,2013-07-03,35,25-35,1,0,False,72063.0,35
4470,1962,Master,Married,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,False,False,False,False,False,False,False,Spain,140,8,2013-06-10,52,45-60,1,0,False,58646.0,52
6183,1962,Master,Married,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,False,False,False,False,False,False,False,Germany,140,8,2013-06-10,52,45-60,1,0,False,58646.0,52
6379,1949,Master,Widow,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,False,False,False,False,False,True,False,USA,121,9,2013-05-29,65,60+,2,1,False,47570.0,65
8601,1980,Graduate,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,False,False,False,False,False,False,False,Australia,1395,21,2013-04-29,34,25-35,1,0,False,80011.0,34
4827,1956,PhD,Single,54998.0,0,1,3,154,22,202,39,30,8,5,4,2,9,4,False,False,False,False,False,True,False,Spain,455,20,2013-03-10,58,45-60,1,0,False,54998.0,58
6715,1948,PhD,Single,60200.0,0,1,3,502,19,132,0,6,26,6,6,2,11,6,False,False,False,False,False,False,False,Spain,685,25,2013-01-02,66,60+,1,0,False,60200.0,66
10676,1982,Graduate,Married,63211.0,0,0,3,145,193,459,205,26,145,2,3,8,7,2,False,False,False,False,False,True,False,Spain,1173,20,2012-11-02,32,25-35,0,0,False,63211.0,32
1041,1973,PhD,Single,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,False,False,False,False,False,True,False,Saudi Arabia,424,19,2012-10-18,41,35-45,1,0,False,48432.0,41
4491,1949,Master,Married,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,False,True,False,False,False,False,False,Spain,1178,28,2012-10-01,65,60+,2,1,False,62845.0,65
873,1949,Master,Married,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,False,True,False,False,False,True,False,Spain,1178,28,2012-10-01,65,60+,2,1,False,62845.0,65
1631,1965,PhD,Married,65220.0,0,0,3,890,63,292,0,25,12,4,8,4,7,6,False,False,False,False,False,True,False,Germany,1282,23,2012-09-03,49,45-60,0,0,False,65220.0,49
8278,1990,PhD,Married,74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,False,False,False,False,False,False,False,Spain,1711,16,2012-08-26,24,18-25,0,0,False,74214.0,24
6815,1980,2n Cycle,Married,96547.0,0,0,4,448,21,125,52,101,62,0,7,6,8,2,True,False,True,True,False,True,False,Spain,809,21,2014-05-23,34,25-35,0,0,False,94199.86000000003,34
254,1955,Graduate,Married,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,False,True,False,False,False,False,False,Spain,473,18,2014-05-17,59,45-60,1,0,False,53863.0,59
1349,1970,Graduate,Married,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,False,False,False,False,False,False,False,India,148,8,2014-04-21,44,35-45,2,1,False,50447.0,44
2534,1953,Graduate,Married,37716.0,0,1,4,97,1,41,6,2,41,2,4,1,3,7,False,False,False,False,False,False,False,Australia,188,10,2014-04-21,61,60+,1,0,False,37716.0,61
2130,1982,Graduate,Married,45203.0,2,0,4,35,3,67,10,8,24,1,3,1,3,6,False,False,False,False,False,True,False,Saudi Arabia,147,8,2014-03-23,32,25-35,2,1,False,45203.0,32
2296,1975,Master,Married,37368.0,1,0,4,3,2,11,2,2,10,1,1,0,2,6,True,False,False,False,False,False,False,Spain,30,4,2013-12-16,39,35-45,1,0,False,37368.0,39
3799,1955,Graduate,Married,67225.0,0,1,4,315,35,322,46,7,143,3,7,2,11,5,False,False,False,False,False,False,False,USA,868,23,2013-11-26,59,45-60,1,0,False,67225.0,59
11084,1976,Master,Married,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,False,False,False,False,False,True,False,Canada,1053,17,2013-11-14,38,35-45,1,0,False,65104.0,38
5172,1976,Master,Married,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,False,False,False,False,False,False,False,Spain,1053,17,2013-11-14,38,35-45,1,0,False,65104.0,38
9504,1949,Master,Married,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,False,False,False,False,False,True,False,Spain,1008,25,2013-11-06,65,60+,0,0,False,81698.0,65
850,1968,Graduate,Single,70566.0,0,1,4,381,28,215,84,28,21,2,6,5,9,3,False,False,False,False,False,False,False,Spain,757,22,2013-10-06,46,45-60,1,0,False,70566.0,46
4477,1958,Graduate,Married,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,False,False,False,False,False,False,False,Germany,653,18,2013-09-27,56,45-60,1,0,False,69096.0,56
1945,1962,Graduate,Married,71434.0,0,1,4,711,36,217,172,96,168,3,7,4,7,4,False,True,False,True,False,False,False,Spain,1400,21,2013-09-18,52,45-60,1,0,False,71434.0,52
7685,1978,Graduate,Married,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,False,False,False,False,False,False,False,Spain,78,7,2013-09-09,36,35-45,1,0,False,33039.0,36
6310,1978,Graduate,Married,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,False,False,False,False,False,False,False,Canada,78,7,2013-09-09,36,35-45,1,0,False,33039.0,36
10832,1958,Graduate,Married,46610.0,0,0,4,288,10,30,4,10,125,1,6,1,6,6,False,False,False,False,False,False,False,Spain,467,14,2013-07-18,56,45-60,0,0,False,46610.0,56
3025,1958,Graduate,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,False,False,False,False,False,False,False,Canada,306,15,2013-07-08,56,45-60,1,0,False,49967.0,56
2404,1976,Graduate,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,False,False,False,False,False,False,False,USA,257,14,2013-05-27,38,35-45,2,1,False,53359.0,38
8581,1971,Master,Married,49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,False,False,False,False,False,False,False,Spain,751,29,2013-03-05,43,35-45,2,1,False,49505.0,43
8755,1946,Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,False,False,False,False,False,False,False,Australia,1196,18,2013-02-20,68,60+,0,0,False,68657.0,68
10177,1954,Graduate,Divorced,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,False,False,False,False,False,False,False,Spain,1338,20,2013-02-14,60,45-60,1,0,False,72071.0,60
2429,1954,Graduate,Divorced,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,False,False,False,False,False,False,False,Canada,1338,20,2013-02-14,60,45-60,1,0,False,72071.0,60
8920,1967,Master,Single,59235.0,1,0,4,448,40,469,80,0,91,3,11,2,12,7,False,False,False,False,False,False,False,India,1128,28,2013-01-12,47,45-60,1,0,False,59235.0,47
8430,1957,Graduate,Married,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,False,False,False,False,False,False,False,Australia,22,4,2012-12-24,57,45-60,1,0,False,21994.0,57
8619,1957,Graduate,Married,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,False,False,False,False,False,False,False,Spain,22,4,2012-12-24,57,45-60,1,0,False,21994.0,57
8996,1957,PhD,Married,44277.0,2,1,4,230,42,192,49,37,53,12,7,2,8,9,False,False,False,False,False,False,False,Germany,603,29,2012-11-19,57,45-60,3,2-3,True,44277.0,57
7233,1972,Graduate,Married,69209.0,0,0,4,496,32,849,229,48,128,2,5,3,6,4,False,False,False,True,False,False,False,Canada,1782,16,2012-09-17,42,35-45,0,0,False,69209.0,42
6678,1989,Graduate,Married,31928.0,1,0,5,33,4,24,4,2,5,2,3,0,4,7,False,False,False,False,False,False,False,India,72,9,2014-03-28,25,18-25,1,0,False,31928.0,25
830,1987,PhD,Single,74004.0,0,0,5,784,48,560,42,176,48,1,4,6,4,3,False,False,True,True,False,True,False,India,1658,15,2014-02-24,27,25-35,0,0,False,74004.0,27
6365,1987,2n Cycle,Married,30390.0,0,0,5,10,12,12,25,1,20,1,2,0,3,6,False,False,False,False,False,False,False,India,80,6,2013-09-02,27,25-35,0,0,False,30390.0,27
6770,1985,Graduate,Married,21355.0,1,0,5,5,13,14,0,5,31,2,2,1,2,6,True,False,False,False,False,True,False,USA,68,7,2013-08-20,29,25-35,1,0,False,21355.0,29
2261,1969,Graduate,Married,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,False,False,False,False,False,False,False,Germany,16,4,2013-06-23,45,35-45,1,0,False,26304.0,45
1031,1989,2n Cycle,Married,85710.0,0,0,5,600,20,350,29,30,33,1,6,9,10,2,False,False,True,False,False,False,False,India,1062,26,2013-05-05,25,18-25,0,0,False,85710.0,25
